Author,age,age_group,n_letters,n_word,n_emoji,n_Url,Media_Count,MessageCount,mean_letters_x_mess,mean_words_x_mess,mean_emojis_x_mess
OOK_16,16,15-20,5243.0,802.0,5,10,4,46,113.98,17.43,0.11
AYL_18,18,15-20,1765.0,370.0,0,0,5,54,32.69,6.85,0.0
LNB_19,19,15-20,1662.0,160.0,0,14,10,29,57.31,5.52,0.0
LLT_19,19,15-20,6259.0,939.0,0,26,59,96,65.2,9.78,0.0
LTT_19,19,15-20,3742.0,842.0,0,4,9,109,34.33,7.72,0.0
ZHP_19,19,15-20,981.0,238.0,0,0,3,55,17.84,4.33,0.0
CDQ_19,19,15-20,3903.0,860.0,0,1,2,97,40.24,8.87,0.0
LYG_19,19,15-20,4624.0,1019.0,0,1,3,141,32.79,7.23,0.0
MLN_19,19,15-20,1800.0,332.0,0,1,6,34,52.94,9.76,0.0
MM_19,19,15-20,198422.0,39501.0,0,627,1541,7206,27.54,5.48,0.0
LDX_19,19,15-20,5859.0,1256.0,0,1,20,170,34.46,7.39,0.0
MSJ_19,19,15-20,9381.0,2249.0,0,0,5,294,31.91,7.65,0.0
DGR_19,19,15-20,7870.0,1827.0,0,0,5,246,31.99,7.43,0.0
TTL_19,19,15-20,1526.0,337.0,0,0,6,48,31.79,7.02,0.0
LML_19,19,15-20,13517.0,2707.0,0,16,34,351,38.51,7.71,0.0
LVR_19,19,15-20,1466.0,321.0,0,2,12,67,21.88,4.79,0.0
RCS_19,19,15-20,1009.0,235.0,0,0,0,30,33.63,7.83,0.0
SML_19,19,15-20,1871.0,444.0,0,2,5,76,24.62,5.84,0.0
SHV_19,19,15-20,2282.0,518.0,0,1,6,101,22.59,5.13,0.0
GLS_19,19,15-20,12718.0,2456.0,0,2,44,193,65.9,12.73,0.0
SHH_19,19,15-20,35795.0,7833.0,0,1,34,661,54.15,11.85,0.0
SBL_19,19,15-20,997.0,230.0,0,0,2,51,19.55,4.51,0.0
RNB_19,19,15-20,34106.0,7256.0,0,11,196,1022,33.37,7.1,0.0
RCJ_19,19,15-20,868.0,199.0,0,0,2,38,22.84,5.24,0.0
RLR_19,19,15-20,3875.0,873.0,0,1,14,186,20.83,4.69,0.0
RLN_19,19,15-20,6158.0,1196.0,0,5,23,97,63.48,12.33,0.0
HMD_19,19,15-20,6648.0,1600.0,0,1,55,438,15.18,3.65,0.0
DRD_19,19,15-20,15651.0,3284.0,0,0,0,290,53.97,11.32,0.0
RGS_19,19,15-20,18009.0,4119.0,0,1,20,555,32.45,7.42,0.0
KEK_19,19,15-20,2276.0,420.0,5,2,6,55,41.38,7.64,0.09
VDQ_19,19,15-20,1462.0,358.0,0,0,6,69,21.19,5.19,0.0
GLS_20,20,15-20,4967.0,1018.0,0,2,13,114,43.57,8.93,0.0
TLN_20,20,15-20,4380.0,987.0,0,3,67,220,19.91,4.49,0.0
LDS_20,20,15-20,3495.0,798.0,0,0,0,90,38.83,8.87,0.0
KTA_20,20,15-20,12705.0,2498.0,0,4,56,218,58.28,11.46,0.0
LFQ_20,20,15-20,15515.0,3262.0,0,7,29,395,39.28,8.26,0.0
MRB_20,20,15-20,959.0,221.0,0,0,1,28,34.25,7.89,0.0
LXY_20,20,15-20,974.0,204.0,0,0,4,25,38.96,8.16,0.0
FNT_20,20,15-20,3643.0,866.0,0,0,3,144,25.3,6.01,0.0
MRZ_20,20,15-20,8085.0,1790.0,0,1,39,289,27.98,6.19,0.0
UGZ_20,20,15-20,2085.0,508.0,0,0,8,129,16.16,3.94,0.0
NDM_20,20,15-20,23270.0,5350.0,0,1,36,675,34.47,7.93,0.0
NWQ_20,20,15-20,1041.0,276.0,0,0,1,59,17.64,4.68,0.0
RGN_20,20,15-20,4134.0,877.0,0,0,9,110,37.58,7.97,0.0
RKS_20,20,15-20,1457.0,263.0,0,2,1,38,38.34,6.92,0.0
RLH_20,20,15-20,1258.0,292.0,0,1,5,45,27.96,6.49,0.0
RNR_20,20,15-20,1018.0,229.0,0,0,46,72,14.14,3.18,0.0
SHR_20,20,15-20,23530.0,4821.0,0,5,47,495,47.54,9.74,0.0
LNL_20,20,15-20,7799.0,1667.0,0,1,7,154,50.64,10.82,0.0
FEM_20,20,15-20,3574.0,825.0,0,1,24,173,20.66,4.77,0.0
LLL_20,20,15-20,11665.0,2399.0,0,4,64,426,27.38,5.63,0.0
TLR_20,20,15-20,926.0,186.0,0,0,15,32,28.94,5.81,0.0
CNG_20,20,15-20,629.0,160.0,0,0,0,32,19.66,5.0,0.0
BXA_20,20,15-20,5424.0,1223.0,0,1,8,114,47.58,10.73,0.0
BRT_20,20,15-20,1312.0,282.0,0,1,1,44,29.82,6.41,0.0
DMM_20,20,15-20,12684.0,3056.0,0,2,32,572,22.17,5.34,0.0
DRN_20,20,15-20,1149.0,256.0,0,0,6,51,22.53,5.02,0.0
DND_20,20,15-20,2853.0,496.0,0,3,7,74,38.55,6.7,0.0
AB_21,21,21-25,12008.0,2447.0,193,0,4,368,32.63,6.65,0.52
LVM_21,21,21-25,6465.0,1468.0,0,1,31,210,30.79,6.99,0.0
CE_21,21,21-25,10127.0,2029.0,39,4,28,510,19.86,3.98,0.08
MB_21,21,21-25,862316.0,172305.0,642,93,1168,14743,58.49,11.69,0.04
TFN_21,21,21-25,22876.0,5023.0,0,0,25,713,32.08,7.04,0.0
MI_21,21,21-25,4186.0,889.0,105,0,2,183,22.87,4.86,0.57
CAS_21,21,21-25,38569.0,7902.0,25,8,93,1744,22.12,4.53,0.01
SSH_21,21,21-25,2504.0,516.0,12,0,33,104,24.08,4.96,0.12
MOX_21,21,21-25,3412.0,769.0,0,0,13,119,28.67,6.46,0.0
ZBB_21,21,21-25,9849.0,2293.0,0,1,32,415,23.73,5.53,0.0
BHT_21,21,21-25,4830.0,1097.0,0,1,15,177,27.29,6.2,0.0
NC_21,21,21-25,5509.0,1046.0,101,2,21,261,21.11,4.01,0.39
NGX_21,21,21-25,34686.0,7349.0,0,2,16,523,66.32,14.05,0.0
NHR_21,21,21-25,4600.0,1036.0,0,0,8,128,35.94,8.09,0.0
SHZ_21,21,21-25,4435.0,999.0,0,2,8,130,34.12,7.68,0.0
SCR_21,21,21-25,7093.0,1644.0,0,2,4,217,32.69,7.58,0.0
NNN_21,21,21-25,3266.0,640.0,0,0,1,48,68.04,13.33,0.0
NRM_21,21,21-25,8326.0,1574.0,0,10,13,140,59.47,11.24,0.0
NRT_21,21,21-25,611.0,142.0,0,1,2,35,17.46,4.06,0.0
CHL_21,21,21-25,671.0,179.0,0,0,1,37,18.14,4.84,0.0
NST_21,21,21-25,2816.0,632.0,0,1,10,107,26.32,5.91,0.0
VRR_21,21,21-25,931.0,222.0,0,0,3,46,20.24,4.83,0.0
PD_21,21,21-25,1926.0,420.0,27,0,9,75,25.68,5.6,0.36
AN_21,21,21-25,5040.0,915.0,56,7,10,96,52.5,9.53,0.58
RCM_21,21,21-25,74990.0,14966.0,1134,12,1593,4576,16.39,3.27,0.25
RDD_21,21,21-25,13171.0,3052.0,0,4,13,448,29.4,6.81,0.0
RGM_21,21,21-25,4008.0,832.0,0,0,9,92,43.57,9.04,0.0
RGP_21,21,21-25,7161.0,1624.0,0,4,14,254,28.19,6.39,0.0
WNK_21,21,21-25,4759.0,1019.0,0,1,14,140,33.99,7.28,0.0
RVS_21,21,21-25,4855.0,1150.0,0,1,5,192,25.29,5.99,0.0
SF_21,21,21-25,244413.0,50534.0,3398,7,1323,8871,27.55,5.7,0.38
NRC_21,21,21-25,5330.0,1151.0,0,3,31,167,31.92,6.89,0.0
LSS_21,21,21-25,2859.0,684.0,0,0,2,88,32.49,7.77,0.0
MMT_21,21,21-25,1326.0,273.0,3,2,0,61,21.74,4.48,0.05
LES_21,21,21-25,237559.0,46770.0,310,52,228,6035,39.36,7.75,0.05
LNS_21,21,21-25,3666.0,774.0,0,1,5,155,23.65,4.99,0.0
JEK_21,21,21-25,1428.0,252.0,3,1,1,31,46.06,8.13,0.1
VAL_21,21,21-25,1030826.0,201162.0,1322,102,1882,24675,41.78,8.15,0.05
CTL_21,21,21-25,38498.0,8726.0,0,0,18,821,46.89,10.63,0.0
CST_21,21,21-25,5708.0,1161.0,0,3,9,153,37.31,7.59,0.0
HRS_21,21,21-25,3287.0,647.0,0,3,4,53,62.02,12.21,0.0
HK_21,21,21-25,45041.0,9545.0,56,3,230,1806,24.94,5.29,0.03
GS_21,21,21-25,221163.0,47675.0,3175,12,703,9519,23.23,5.01,0.33
LBR_21,21,21-25,4570.0,968.0,0,4,24,133,34.36,7.28,0.0
DRN_21,21,21-25,813.0,205.0,0,1,13,59,13.78,3.47,0.0
CM_21,21,21-25,23474.0,4694.0,172,0,15,423,55.49,11.1,0.41
DXH_21,21,21-25,2948.0,670.0,0,0,6,96,30.71,6.98,0.0
LND_21,21,21-25,6028.0,1275.0,0,1,28,204,29.55,6.25,0.0
CSP_21,21,21-25,8924.0,1947.0,0,0,34,312,28.6,6.24,0.0
CH_21,21,21-25,8464.0,1760.0,99,0,134,376,22.51,4.68,0.26
OBM_22,22,21-25,1329.0,274.0,1,0,0,44,30.2,6.23,0.02
GSH_22,22,21-25,1255.0,267.0,4,0,0,46,27.28,5.8,0.09
KM_22,22,21-25,4426.0,857.0,98,6,6,85,52.07,10.08,1.15
MS_22,22,21-25,936.0,182.0,13,0,21,53,17.66,3.43,0.25
VC_23,23,21-25,2390.0,488.0,0,1,16,122,19.59,4.0,0.0
YS_23,23,21-25,15845.0,3236.0,210,1,12,433,36.59,7.47,0.48
AB_23,23,21-25,176636.0,37350.0,0,122,470,4987,35.42,7.49,0.0
SB_23,23,21-25,11358.0,2207.0,2,1,9,126,90.14,17.52,0.02
CCM_23,23,21-25,3195.0,560.0,18,6,0,66,48.41,8.48,0.27
TL_24,24,21-25,2424.0,509.0,18,0,14,66,36.73,7.71,0.27
AJK_24,24,21-25,1035.0,220.0,0,0,4,38,27.24,5.79,0.0
AZK_24,24,21-25,2535.0,534.0,0,0,0,32,79.22,16.69,0.0
SO_24,24,21-25,9097.0,1751.0,28,1,3,81,112.31,21.62,0.35
CHR_24,24,21-25,2760.0,540.0,9,1,3,78,35.38,6.92,0.12
MAX_24,24,21-25,7398.0,1497.0,59,0,12,241,30.7,6.21,0.24
JBK_25,25,21-25,3336.0,609.0,6,4,0,70,47.66,8.7,0.09
RKN_25,25,21-25,68384.0,14877.0,0,23,16,1764,38.77,8.43,0.0
VM_26,26,26-30,19417.0,4022.0,113,6,103,963,20.16,4.18,0.12
MYK_26,26,26-30,1768.0,368.0,1,0,0,32,55.25,11.5,0.03
MML_26,26,26-30,1510.0,299.0,2,1,0,37,40.81,8.08,0.05
AHK_27,27,26-30,1618.0,343.0,11,0,0,38,42.58,9.03,0.29
JAL_27,27,26-30,4271.0,857.0,8,1,3,56,76.27,15.3,0.14
MKJ_27,27,26-30,12175.0,2437.0,7,9,22,359,33.91,6.79,0.02
SOK_28,28,26-30,904.0,185.0,1,0,0,34,26.59,5.44,0.03
LCK_28,28,26-30,9815.0,1874.0,8,7,3,105,93.48,17.85,0.08
EWL_28,28,26-30,1565.0,307.0,19,0,1,33,47.42,9.3,0.58
UK_28,28,26-30,499.0,117.0,17,0,0,28,17.82,4.18,0.61
RKL_29,29,26-30,1877.0,361.0,15,0,0,74,25.36,4.88,0.2
KML_30,30,26-30,1036.0,204.0,0,1,0,36,28.78,5.67,0.0
AKL_30,30,26-30,1193.0,253.0,0,0,0,36,33.14,7.03,0.0
OOK_31,31,31-35,2757.0,523.0,8,0,12,30,91.9,17.43,0.27
EYE_31,31,31-35,890.0,173.0,7,0,6,28,31.79,6.18,0.25
MB_32,32,31-35,56301.0,11330.0,352,6,256,1780,31.63,6.37,0.2
AKA_34,34,31-35,1331.0,264.0,4,0,1,32,41.59,8.25,0.12
MYY_34,34,31-35,1179.0,236.0,6,0,3,25,47.16,9.44,0.24
AZZ_35,35,31-35,2022.0,388.0,14,0,4,26,77.77,14.92,0.54
EG_35,35,31-35,6362.0,1194.0,41,7,20,158,40.27,7.56,0.26
JB_36,36,36-40,9131.0,1824.0,123,2,81,139,65.69,13.12,0.88
VC_36,36,36-40,1336.0,303.0,0,0,129,153,8.73,1.98,0.0
JEK_37,37,36-40,13997.0,2517.0,103,7,60,148,94.57,17.01,0.7
AY_37,37,36-40,13018.0,2664.0,86,0,26,649,20.06,4.1,0.13
MME_37,37,36-40,8669.0,1671.0,19,2,508,546,15.88,3.06,0.03
WWA_38,38,36-40,3334.0,602.0,3,1,5,47,70.94,12.81,0.06
KYM_38,38,36-40,5529.0,1008.0,0,4,3,37,149.43,27.24,0.0
CHR_38,38,36-40,2952.0,688.0,0,0,5,93,31.74,7.4,0.0
FB_39,39,36-40,28607.0,5551.0,229,5,51,281,101.8,19.75,0.81
MKA_39,39,36-40,3792.0,683.0,15,2,7,44,86.18,15.52,0.34
KEK_39,39,36-40,3352.0,631.0,58,1,9,62,54.06,10.18,0.94
JAA_39,39,36-40,4472.0,744.0,4,8,6,33,135.52,22.55,0.12
WWW_40,40,36-40,1234.0,232.0,17,0,12,30,41.13,7.73,0.57
OOO_41,41,41-45,2472.0,502.0,32,0,0,77,32.1,6.52,0.42
ANN_41,41,41-45,21312.0,3777.0,42,12,28,126,169.14,29.98,0.33
MYK_41,41,41-45,1242.0,234.0,8,0,3,36,34.5,6.5,0.22
KAM_42,42,41-45,13896.0,2498.0,37,2,13,125,111.17,19.98,0.3
WAA_42,42,41-45,7969.0,1469.0,86,3,10,116,68.7,12.66,0.74
TP_42,42,41-45,1171.0,212.0,27,1,5,35,33.46,6.06,0.77
MMA_42,42,41-45,15434.0,2742.0,62,12,76,183,84.34,14.98,0.34
KAK_42,42,41-45,8652.0,1686.0,2,7,69,171,50.6,9.86,0.01
MJM_42,42,41-45,4616.0,858.0,12,0,0,29,159.17,29.59,0.41
AJJ_43,43,41-45,3596.0,542.0,25,6,0,36,99.89,15.06,0.69
AZ_43,43,41-45,6809.0,1344.0,0,0,0,69,98.68,19.48,0.0
AZA_44,44,41-45,987.0,205.0,10,0,1,33,29.91,6.21,0.3
KMM_44,44,41-45,3537.0,634.0,39,2,4,49,72.18,12.94,0.8
AAA_45,45,41-45,4648.0,806.0,12,4,7,53,87.7,15.21,0.23
REW_45,45,41-45,2359.0,468.0,6,0,2,26,90.73,18.0,0.23
CCM_45,45,41-45,1839.0,359.0,18,0,5,39,47.15,9.21,0.46
KWA_45,45,41-45,3213.0,651.0,92,0,1,34,94.5,19.15,2.71
AAJ_46,46,46-50,1397.0,239.0,8,1,21,62,22.53,3.85,0.13
ZKW_46,46,46-50,1373.0,272.0,2,0,2,25,54.92,10.88,0.08
NC_47,47,46-50,91943.0,18809.0,0,3,143,913,100.7,20.6,0.0
AAZ_47,47,46-50,6073.0,1068.0,7,6,24,103,58.96,10.37,0.07
AAY_47,47,46-50,2793.0,577.0,11,0,10,69,40.48,8.36,0.16
AAH_47,47,46-50,3918.0,753.0,37,0,6,47,83.36,16.02,0.79
AWW_47,47,46-50,1611.0,316.0,6,0,0,33,48.82,9.58,0.18
SP_48,48,46-50,9471.0,2051.0,0,2,7,106,89.35,19.35,0.0
OB_48,48,46-50,20459.0,4033.0,33,0,91,278,73.59,14.51,0.12
ZAA_52,52,50+,1691.0,321.0,13,0,3,26,65.04,12.35,0.5
LC_53,53,50+,14513.0,2957.0,11,0,56,318,45.64,9.3,0.03
CL_54,54,50+,63570.0,13778.0,0,13,84,876,72.57,15.73,0.0
AHH_54,54,50+,6387.0,1124.0,7,6,8,94,67.95,11.96,0.07
JB_56,56,50+,19683.0,3774.0,0,1,12,95,207.19,39.73,0.0
MKB_59,59,50+,7604.0,1500.0,7,0,6,65,116.98,23.08,0.11
AM_63,63,50+,14696.0,2036.0,45,43,105,432,34.02,4.71,0.1
