Author,age,age_group,n_letters,n_word,n_emoji,n_Url,Media_Count,MessageCount,mean_letters_x_mess,mean_words_x_mess,mean_emojis_x_mess
AKL_30,30,26-30,1193.0,253.0,0,0,0,36,33.14,7.03,0.0
KML_30,30,26-30,1036.0,204.0,0,1,0,36,28.78,5.67,0.0
EYE_31,31,31-35,890.0,173.0,7,0,6,28,31.79,6.18,0.25
OOK_31,31,31-35,2757.0,523.0,8,0,12,30,91.9,17.43,0.27
MB_32,32,31-35,56301.0,11330.0,352,6,256,1780,31.63,6.37,0.2
MYY_34,34,31-35,1179.0,236.0,6,0,3,25,47.16,9.44,0.24
AKA_34,34,31-35,1331.0,264.0,4,0,1,32,41.59,8.25,0.12
EG_35,35,31-35,6362.0,1194.0,41,7,20,158,40.27,7.56,0.26
AZZ_35,35,31-35,2022.0,388.0,14,0,4,26,77.77,14.92,0.54
JB_36,36,36-40,9131.0,1824.0,123,2,81,139,65.69,13.12,0.88
VC_36,36,36-40,1336.0,303.0,0,0,129,153,8.73,1.98,0.0
AY_37,37,36-40,13018.0,2664.0,86,0,26,649,20.06,4.1,0.13
MME_37,37,36-40,8669.0,1671.0,19,2,508,546,15.88,3.06,0.03
JEK_37,37,36-40,13997.0,2517.0,103,7,60,148,94.57,17.01,0.7
KYM_38,38,36-40,5529.0,1008.0,0,4,3,37,149.43,27.24,0.0
WWA_38,38,36-40,3334.0,602.0,3,1,5,47,70.94,12.81,0.06
CHR_38,38,36-40,2952.0,688.0,0,0,5,93,31.74,7.4,0.0
MKA_39,39,36-40,3792.0,683.0,15,2,7,44,86.18,15.52,0.34
FB_39,39,36-40,28607.0,5551.0,229,5,51,281,101.8,19.75,0.81
JAA_39,39,36-40,4472.0,744.0,4,8,6,33,135.52,22.55,0.12
KEK_39,39,36-40,3352.0,631.0,58,1,9,62,54.06,10.18,0.94
WWW_40,40,36-40,1234.0,232.0,17,0,12,30,41.13,7.73,0.57
MYK_41,41,41-45,1242.0,234.0,8,0,3,36,34.5,6.5,0.22
OOO_41,41,41-45,2472.0,502.0,32,0,0,77,32.1,6.52,0.42
ANN_41,41,41-45,21312.0,3777.0,42,12,28,126,169.14,29.98,0.33
MMA_42,42,41-45,15434.0,2742.0,62,12,76,183,84.34,14.98,0.34
KAM_42,42,41-45,13896.0,2498.0,37,2,13,125,111.17,19.98,0.3
TP_42,42,41-45,1171.0,212.0,27,1,5,35,33.46,6.06,0.77
WAA_42,42,41-45,7969.0,1469.0,86,3,10,116,68.7,12.66,0.74
KAK_42,42,41-45,8652.0,1686.0,2,7,69,171,50.6,9.86,0.01
MJM_42,42,41-45,4616.0,858.0,12,0,0,29,159.17,29.59,0.41
AZ_43,43,41-45,6809.0,1344.0,0,0,0,69,98.68,19.48,0.0
AJJ_43,43,41-45,3596.0,542.0,25,6,0,36,99.89,15.06,0.69
AZA_44,44,41-45,987.0,205.0,10,0,1,33,29.91,6.21,0.3
KMM_44,44,41-45,3537.0,634.0,39,2,4,49,72.18,12.94,0.8
REW_45,45,41-45,2359.0,468.0,6,0,2,26,90.73,18.0,0.23
AAA_45,45,41-45,4648.0,806.0,12,4,7,53,87.7,15.21,0.23
KWA_45,45,41-45,3213.0,651.0,92,0,1,34,94.5,19.15,2.71
CCM_45,45,41-45,1839.0,359.0,18,0,5,39,47.15,9.21,0.46
ZKW_46,46,46-50,1373.0,272.0,2,0,2,25,54.92,10.88,0.08
AAJ_46,46,46-50,1397.0,239.0,8,1,21,62,22.53,3.85,0.13
AAH_47,47,46-50,3918.0,753.0,37,0,6,47,83.36,16.02,0.79
AAY_47,47,46-50,2793.0,577.0,11,0,10,69,40.48,8.36,0.16
AAZ_47,47,46-50,6073.0,1068.0,7,6,24,103,58.96,10.37,0.07
AWW_47,47,46-50,1611.0,316.0,6,0,0,33,48.82,9.58,0.18
NC_47,47,46-50,91943.0,18809.0,0,3,143,913,100.7,20.6,0.0
SP_48,48,46-50,9471.0,2051.0,0,2,7,106,89.35,19.35,0.0
OB_48,48,46-50,20459.0,4033.0,33,0,91,278,73.59,14.51,0.12
ZAA_52,52,50+,1691.0,321.0,13,0,3,26,65.04,12.35,0.5
LC_53,53,50+,14513.0,2957.0,11,0,56,318,45.64,9.3,0.03
AHH_54,54,50+,6387.0,1124.0,7,6,8,94,67.95,11.96,0.07
CL_54,54,50+,63570.0,13778.0,0,13,84,876,72.57,15.73,0.0
JB_56,56,50+,19683.0,3774.0,0,1,12,95,207.19,39.73,0.0
MKB_59,59,50+,7604.0,1500.0,7,0,6,65,116.98,23.08,0.11
AM_63,63,50+,14696.0,2036.0,45,43,105,432,34.02,4.71,0.1
